provinsi,domain,tahun,sektor_kode,sektor,adhk,share_pct,growth_total_pct
Kalimantan Timur,6400,2024,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",322.4,0.06,6.17
Kalimantan Timur,6400,2024,F,Konstruksi,52471.8,9.19,6.17
Kalimantan Timur,6400,2024,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,34955.1,6.12,6.17
Kalimantan Timur,6400,2024,H,Transportasi dan Pergudangan,18084.7,3.17,6.17
Kalimantan Timur,6400,2024,I,Penyediaan Akomodasi dan Makan Minum,5498.5,0.96,6.17
Kalimantan Timur,6400,2024,J,Informasi dan Komunikasi,11158.9,1.95,6.17
Kalimantan Timur,6400,2024,K,Jasa Keuangan dan Asuransi,9551.7,1.67,6.17
Kalimantan Timur,6400,2024,L,Real Estat,4860.6,0.85,6.17
Kalimantan Timur,6400,2024,MN,Jasa Perusahaan,1101.5,0.19,6.17
Kalimantan Timur,6400,2024,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",10924.8,1.91,6.17
Kalimantan Timur,6400,2024,P,Jasa Pendidikan,8482.5,1.49,6.17
Kalimantan Timur,6400,2024,Q,Jasa Kesehatan dan Kegiatan Sosial,4535.6,0.79,6.17
Kalimantan Timur,6400,2024,RSTU,Jasa Lainnya,3398.8,0.6,6.17
Kalimantan Utara,6500,2024,A,"Pertanian, Kehutanan, dan Perikanan",12444238.5,17.02,4.75
Kalimantan Utara,6500,2024,B,Pertambangan dan Penggalian,18613767.5,25.45,4.75
Kalimantan Utara,6500,2024,C,Industri Pengolahan,6188512.6,8.46,4.75
Kalimantan Utara,6500,2024,D,Pengadaan Listrik dan Gas,59449.7,0.08,4.75
Kalimantan Utara,6500,2024,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",52278.7,0.07,4.75
Kalimantan Utara,6500,2024,F,Konstruksi,9349773.4,12.78,4.75
Kalimantan Utara,6500,2024,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,9288152.8,12.7,4.75
Kalimantan Utara,6500,2024,H,Transportasi dan Pergudangan,4702904.1,6.43,4.75
Kalimantan Utara,6500,2024,I,Penyediaan Akomodasi dan Makan Minum,1178751.1,1.61,4.75
Kalimantan Utara,6500,2024,J,Informasi dan Komunikasi,2538044.9,3.47,4.75
Kalimantan Utara,6500,2024,K,Jasa Keuangan dan Asuransi,973999.2,1.33,4.75
Kalimantan Utara,6500,2024,L,Real Estat,666003.2,0.91,4.75
Kalimantan Utara,6500,2024,MN,Jasa Perusahaan,169245.5,0.23,4.75
Kalimantan Utara,6500,2024,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",3518098.0,4.81,4.75
Kalimantan Utara,6500,2024,P,Jasa Pendidikan,1977963.0,2.7,4.75
Kalimantan Utara,6500,2024,Q,Jasa Kesehatan dan Kegiatan Sosial,874505.6,1.2,4.75
Kalimantan Utara,6500,2024,RSTU,Jasa Lainnya,538718.5,0.74,4.75
