tahun,wilayah_id,wilayah,sektor_kode,sektor,pdrb_wil,share_wil,share_nas,lq
2024,6309,Tabalong,C,Industri Pengolahan,1290.15,0.074486,0.211799,0.3517
2024,6309,Tabalong,D,Pengadaan Listrik dan Gas,8.03,0.000464,0.010885,0.0426
2024,6309,Tabalong,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",48.95,0.002826,0.000882,3.2029
2024,6309,Tabalong,F,Konstruksi,1016.6,0.058692,0.102128,0.5747
2024,6309,Tabalong,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,1387.46,0.080104,0.13608,0.5886
2024,6309,Tabalong,H,Transportasi dan Pergudangan,368.48,0.021274,0.048771,0.4362
2024,6309,Tabalong,I,Penyediaan Akomodasi dan Makan Minum,295.79,0.017077,0.033565,0.5088
2024,6309,Tabalong,J,Informasi dan Komunikasi,936.21,0.054051,0.070235,0.7696
2024,6309,Tabalong,K,Jasa Keuangan dan Asuransi,290.03,0.016745,0.042033,0.3984
2024,6309,Tabalong,L,Real Estat,228.98,0.01322,0.028505,0.4638
2024,6309,Tabalong,MN,Jasa Perusahaan,47.58,0.002747,0.020342,0.135
2024,6309,Tabalong,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",540.44,0.031202,0.032628,0.9563
2024,6309,Tabalong,P,Jasa Pendidikan,555.14,0.03205,0.030111,1.0644
2024,6309,Tabalong,Q,Jasa Kesehatan dan Kegiatan Sosial,130.77,0.00755,0.014773,0.5111
2024,6309,Tabalong,RSTU,Jasa Lainnya,124.06,0.007162,0.021568,0.3321
2025,6309,Tabalong,A,"Pertanian, Kehutanan, dan Perikanan",1793.84,0.098924,0.11862,0.834
2025,6309,Tabalong,B,Pertambangan dan Penggalian,8469.15,0.467043,0.072978,6.3998
2025,6309,Tabalong,C,Industri Pengolahan,1413.42,0.077945,0.21207,0.3675
2025,6309,Tabalong,D,Pengadaan Listrik dan Gas,8.58,0.000473,0.010672,0.0443
