tahun,sektor_kode,sektor,pdrb_prov,pdrb_nas,share_prov,share_nas,lq
2023,Q,Jasa Kesehatan dan Kegiatan Sosial,3220.53,168936.9,0.021582,0.014361,1.5027
2023,RSTU,Jasa Lainnya,1761.26,242892.0,0.011803,0.020648,0.5716
2024,A,"Pertanian, Kehutanan, dan Perikanan",20350.74,1464446.6,0.129813,0.118436,1.0961
2024,B,Pertambangan dan Penggalian,37270.51,955260.2,0.23774,0.077256,3.0773
2024,C,Industri Pengolahan,19284.69,2618854.5,0.123013,0.211799,0.5808
2024,D,Pengadaan Listrik dan Gas,213.36,134594.2,0.001361,0.010885,0.125
2024,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",691.98,10910.1,0.004414,0.000882,5.0025
2024,F,Konstruksi,12157.43,1262792.7,0.077549,0.102128,0.7593
2024,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,14908.09,1682612.1,0.095095,0.13608,0.6988
2024,H,Transportasi dan Pergudangan,10934.1,603051.0,0.069746,0.048771,1.4301
2024,I,Penyediaan Akomodasi dan Makan Minum,3503.16,415020.6,0.022346,0.033565,0.6658
2024,J,Informasi dan Komunikasi,7187.32,868446.9,0.045846,0.070235,0.6528
2024,K,Jasa Keuangan dan Asuransi,5099.81,519736.4,0.032531,0.042033,0.7739
2024,L,Real Estat,3952.95,352454.7,0.025215,0.028505,0.8846
2024,MN,Jasa Perusahaan,1032.79,251529.7,0.006588,0.020342,0.3239
2024,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",7905.77,403445.5,0.050429,0.032628,1.5456
2024,P,Jasa Pendidikan,6985.64,372319.4,0.04456,0.030111,1.4798
2024,Q,Jasa Kesehatan dan Kegiatan Sosial,3399.82,182664.7,0.021687,0.014773,1.468
2024,RSTU,Jasa Lainnya,1891.78,266690.6,0.012067,0.021568,0.5595
2025,A,"Pertanian, Kehutanan, dan Perikanan",21717.59,1542447.4,0.131655,0.11862,1.1099
2025,B,Pertambangan dan Penggalian,37259.39,948947.8,0.225872,0.072978,3.0951
2025,C,Industri Pengolahan,20705.65,2757586.3,0.125521,0.21207,0.5919
2025,D,Pengadaan Listrik dan Gas,229.85,138767.8,0.001393,0.010672,0.1306
2025,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",725.03,11012.8,0.004395,0.000847,5.1896
2025,F,Konstruksi,12784.39,1310966.1,0.077501,0.100819,0.7687
2025,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,16112.95,1775024.9,0.097679,0.136507,0.7156
2025,H,Transportasi dan Pergudangan,11827.2,655996.7,0.071698,0.050449,1.4212
2025,I,Penyediaan Akomodasi dan Makan Minum,3849.32,445770.0,0.023335,0.034282,0.6807
2025,J,Informasi dan Komunikasi,7809.46,940946.9,0.047342,0.072363,0.6542
2025,K,Jasa Keuangan dan Asuransi,5342.76,540301.8,0.032389,0.041551,0.7795
2025,L,Real Estat,4218.99,365072.1,0.025576,0.028076,0.911
2025,MN,Jasa Perusahaan,1106.47,274407.6,0.006708,0.021103,0.3178
2025,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",8205.87,419017.4,0.049745,0.032224,1.5437
2025,P,Jasa Pendidikan,7403.67,390904.5,0.044882,0.030062,1.493
2025,Q,Jasa Kesehatan dan Kegiatan Sosial,3604.54,192883.5,0.021851,0.014834,1.4731
2025,RSTU,Jasa Lainnya,2055.17,293160.4,0.012459,0.022545,0.5526
