provinsi,sektor_kode,sektor,nilai,bulan
Bengkulu,H,Transportasi dan Pergudangan,230880656477,2026-03
Bengkulu,I,Penyediaan Akomodasi dan Makan Minum,632493705619,2026-03
Bengkulu,J,Informasi dan Komunikasi,6291068952,2026-03
Bengkulu,K,Jasa Keuangan dan Asuransi,10043983354,2026-03
Bengkulu,L,Real Estat,156658130820,2026-03
Bengkulu,MN,Jasa Perusahaan,161173821668,2026-03
Bengkulu,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",200000000,2026-03
Bengkulu,P,Jasa Pendidikan,52359472672,2026-03
Bengkulu,Q,Jasa Kesehatan dan Kegiatan Sosial,131532287608,2026-03
Bengkulu,RSTU,Jasa Lainnya,626279054507,2026-03
Bengkulu,RT,Rumah Tangga (konsumsi),16812725221115,2026-03
D.I Yogyakarta,A,"Pertanian, Kehutanan, dan Perikanan",3077643415560,2026-03
D.I Yogyakarta,B,Pertambangan dan Penggalian,76675464108,2026-03
D.I Yogyakarta,C,Industri Pengolahan,4016816919127,2026-03
D.I Yogyakarta,D,Pengadaan Listrik dan Gas,53473092708,2026-03
D.I Yogyakarta,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",26290082698,2026-03
D.I Yogyakarta,F,Konstruksi,6554340208067,2026-03
D.I Yogyakarta,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,11721460429491,2026-03
D.I Yogyakarta,H,Transportasi dan Pergudangan,914142545296,2026-03
D.I Yogyakarta,I,Penyediaan Akomodasi dan Makan Minum,3074595415961,2026-03
D.I Yogyakarta,J,Informasi dan Komunikasi,182540763737,2026-03
D.I Yogyakarta,K,Jasa Keuangan dan Asuransi,889698449200,2026-03
D.I Yogyakarta,L,Real Estat,1084012674070,2026-03
D.I Yogyakarta,MN,Jasa Perusahaan,932760343780,2026-03
D.I Yogyakarta,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",189745591,2026-03
D.I Yogyakarta,P,Jasa Pendidikan,975694102408,2026-03
D.I Yogyakarta,Q,Jasa Kesehatan dan Kegiatan Sosial,1697180352898,2026-03
D.I Yogyakarta,RSTU,Jasa Lainnya,2368127940560,2026-03
D.I Yogyakarta,RT,Rumah Tangga (konsumsi),18402068463313,2026-03
DKI Jakarta,A,"Pertanian, Kehutanan, dan Perikanan",188650880947454,2026-03
